Name,Location,Address,Phone,10:00 AM,11:00 AM,12:00 PM,01:00 PM,02:00 PM,03:00 PM,04:00 PM,05:00 PM,06:00 PM,07:00 PM,08:00 PM,09:00 PM,10:00 PM
Faasos,Banashankari,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",+91 7700020020,10,10,10,10,10,10,10,10,10,10,10,10,10
Kitchen Garden,Kumaraswamy Layout,"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",080 49652867,10,10,10,10,10,10,10,10,10,10,10,10,10
Recipe,Kumaraswamy Layout,"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore","+91 8043755256
+91 9886073774",10,10,10,10,10,10,10,10,10,10,10,10,10
Tasty Bytes,Kumaraswamy Layout,"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore","+91 8553317408
+91 7899687127",10,10,10,10,10,10,10,10,10,10,10,10,10
FreshMenu,Banashankari,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",080 40424242,10,10,10,10,10,10,10,10,10,10,10,10,10
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore","+91 9448305384
+91 9060079480",10,10,10,10,10,10,10,10,10,10,10,10,10
Bengaluru Coffee House,Banashankari,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",+91 9740180090,10,10,10,10,10,10,10,10,10,10,10,10,10
Anna Kuteera,Banashankari,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",+91 9620009302,10,10,10,10,10,10,10,10,10,10,10,10,10
Sri Udupi Food Hub,Jayanagar,"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",+91 9916866033,10,10,10,10,10,10,10,10,10,10,10,10,10
Sagar Deluxe,Kumaraswamy Layout,"1761, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore","080 32963232
+91 9620284767",10,10,10,10,10,10,10,10,10,10,10,10,10
Grazers,Jayanagar,"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",080 26650668,10,10,10,10,10,10,10,10,10,10,10,10,10
Cool Corner,Basavanagudi,"1/4, Nisha Complex, KR Road, Near National College, Basavanagudi, Bangalore",080 26916505,10,10,10,10,10,10,10,10,10,10,10,10,10
Srikrishna Bhavan,Banashankari,"Next To BMTC Bus Stand, Banashankari, Bangalore","+91 9590895055
+91 9845664745",10,10,10,10,10,10,10,10,10,10,10,10,10
